Date of Sale,Sku,Serial # (IMEI),Device Model,Warranty Sku,Contract ID,Customer Name,Ship To,Administrator Email,Address,Address 2,City,State,Zipcode,Administrator Phone,Store Location
7/13/2016,200054,355955060324148,Samsung Tab S 10.5,CP300T12FA0-WX,,Preferred sales & Leasing,437,manager437@buddyrents.com,1404 S Muskogee #7A,,Tahlequah,OK,74464,(918) 215-2180,
7/13/2016,100079,358772052611813,ipad air,CP300T12FA0-WX,,Buddys,339,manager339@buddyrents.com,5234 Rufe Snow Dr Suite A,,North Richland Hills,TX,76180,(682) 334-1029,
7/13/2016,100076,358847051507418,ipad air,CP300T12FA0-WX,,Buddys,339,manager339@buddyrents.com,5234 Rufe Snow Dr Suite A,,North Richland Hills,TX,76180,(682) 334-1029,
7/13/2016,101080,358771056628518,Apple ipad Air,CP400T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,101081,358773056154792,Apple ipad Air,CP400T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,200024,357572051345616,Note 3,SMPNT3T12FA0-WX,,Preferred sales & Leasing,437,manager437@buddyrents.com,1404 S Muskogee #7A,,Tahlequah,OK,74464,(918) 215-2180,
7/13/2016,200024,357572051848874,Note 3,SMPNT3T12FA0-WX,,Easyhome,47,store47@easyhome.us,"5609 Rogers Ave, Suite B",,Ft. Smith,AR,72903,(479) 434-5960,
7/13/2016,200024,357572052293112,Note 3,SMPNT3T12FA0-WX,,Easyhome,52,store52@easyhome.us,"3800 N. MacArthur Blvd, Ste G",,Warr Acres,OK,73122,(405) 603-3922,
7/13/2016,200024,357572052555841,Note 3,SMPNT3T12FA0-WX,,Easyhome,47,store47@easyhome.us,"5609 Rogers Ave, Suite B",,"Ft. Smith,",AR,72903,(479) 434-5960,
7/13/2016,200024,357572052957914,Note 3,SMPNT3T12FA0-WX,,Easyhome,46,store46@easyhome.us,2909 W. Nettleton,,Jonesboro,AR,72401,(870) 934-8425,
7/13/2016,200024,357572053524796,Note 3,SMPNT3T12FA0-WX,,Easyhome,45,store45@easyhome.us,"2070 John Harden Dr, Suite H",,Jacksonville,AR,72076,(501) 985-1280,
7/13/2016,200024,357572053693831,Note 3,SMPNT3T12FA0-WX,,Easyhome,45,store45@easyhome.us,"2070 John Harden Dr, Suite H",,Jacksonville,AR,72076,(501) 985-1280,
7/13/2016,200024,357572053867039,Note 3,SMPNT3T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,200024,357572054545717,Note 3,SMPNT3T12FA0-WX,,Easyhome,46,store46@easyhome.us,2909 W. Nettleton,,Jonesboro,AR,72401,(870) 934-8425,
7/13/2016,200024,357572054626939,Note 3,SMPNT3T12FA0-WX,,Easyhome,47,store47@easyhome.us,"5609 Rogers Ave, Suite B",,Ft. Smith,AR,72903,(479) 434-5960,
7/13/2016,200024,357572054965667,Note 3,SMPNT3T12FA0-WX,,Easyhome,52,store52@easyhome.us,"3800 N. MacArthur Blvd, Ste G",,Warr Acres,OK,73122,(405) 603-3922,
7/13/2016,200024,357572055658386,Note 3,SMPNT3T12FA0-WX,,Easyhome,47,store47@easyhome.us,"5609 Rogers Ave, Suite B",,"Ft. Smith,",AR,72903,(479) 434-5960,
7/13/2016,200023,358579054595336,Note 3,SMPNT3T12FA0-WX,,Easyhome,31,store31@easyhome.us,4620 E. 13th St. North,,Wichita,KS,67208,(316) 201-4700,
7/13/2016,200023,358579054881777,Note 3,SMPNT3T12FA0-WX,,Easyhome,31,store31@easyhome.us,4620 E. 13th St. North,,Wichita,KS,67208,(316) 201-4700,
7/13/2016,200023,358579055791702,Note 3,SMPNT3T12FA0-WX,,Easyhome,31,store31@easyhome.us,4620 E. 13th St. North,,Wichita,KS,67208,(316) 201-4700,
7/13/2016,200026,354483064634157,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200026,354483064713977,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200026,354483064912827,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200027,356204060058441,Note 4,SMPNT4T12FA0-WX,,Preferred sales & Leasing,437,manager437@buddyrents.com,1404 S Muskogee #7A,,Tahlequah,OK,74464,(918) 215-2180,
7/13/2016,200027,356204061178834,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200027,356204064587338,Note 4,SMPNT4T12FA0-WX,,Buddys,337,manager337@buddyrents.com,230 S Armstrong Ave,,Dennison,TX,75020,(903) 213-5818,
7/13/2016,200027,356204065468413,Note 4,SMPNT4T12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,200027,356204065561456,Note 4,SMPNT4T12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,200027,356204066419589,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200027,356204066424894,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200027,356204066602028,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200027,356204066702232,Note 4,SMPNT4T12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,200027,356204066872993,Note 4,SMPNT4T12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,200027,356204066873496,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200027,356204066891506,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200027,356204066980242,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200027,356204066983162,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200027,356204067056893,Note 4,SMPNT4T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,220001,353425060398668,Galaxy S5 Active,SMPS5AT12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,220001,353425060463736,Galaxy S5 Active,SMPS5AT12FA0-WX,,PSL,434,manager434@buddyrents.com,104 E Graham Ave,,Pryor,OK,74361,(918) 236-8373,
7/13/2016,220001,353425060466085,Galaxy S5 Active,SMPS5AT12FA0-WX,,PSL,434,manager434@buddyrents.com,104 E Graham Ave,,Pryor,OK,74361,(918) 236-8373,
7/13/2016,220001,353425060582766,Galaxy S5 Active,SMPS5AT12FA0-WX,,Buddys,308,manager308@buddyrents.com,2011 W Walnut St. Suite 101,,Rogers,AR,72756,(479) 899-6969,
7/13/2016,220001,353425060788579,Galaxy S5 Active,SMPS5AT12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,220001,353425061402030,Galaxy S5 Active,SMPS5AT12FA0-WX,,Buddys,308,manager308@buddyrents.com,2011 W Walnut St. Suite 101,,Rogers,AR,72756,(479) 899-6969,
7/13/2016,220001,353425062178993,Galaxy S5 Active,SMPS5AT12FA0-WX,,Preferred sales & Leasing,437,manager437@buddyrents.com,1404 S Muskogee #7A,,Tahlequah,OK,74464,(918) 215-2180,
7/13/2016,220001,353425069504191,Galaxy S5 Active,SMPS5AT12FA0-WX,,Preferred sales & Leasing,437,manager437@buddyrents.com,1404 S Muskogee #7A,,Tahlequah,OK,74464,(918) 215-2180,
7/13/2016,220002,353501060304755,Galaxy S5 Active,SMPS5AT12FA0-WX,,Easyhome,47,store47@easyhome.us,"5609 Rogers Ave, Suite B",,"Ft. Smith,",AR,72903,(479) 434-5960,
7/13/2016,220002,353501060419116,Galaxy S5 Active,SMPS5AT12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,220002,353501060454337,Galaxy S5 Active,SMPS5AT12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,220002,353501060612066,Galaxy S5 Active,SMPS5AT12FA0-WX,,Easyhome,45,store45@easyhome.us,"2070 John Harden Dr, Suite H",,Jacksonville,AR,72076,(501) 985-1280,
7/13/2016,220002,353501060633872,Galaxy S5 Active,SMPS5AT12FA0-WX,,PSL,434,manager434@buddyrents.com,104 E Graham Ave,,Pryor,OK,74361,(918) 236-8373,
7/13/2016,220002,353501060650348,Galaxy S5 Active,SMPS5AT12FA0-WX,,Easyhome,47,store47@easyhome.us,"5609 Rogers Ave, Suite B",,"Ft. Smith,",AR,72903,(479) 434-5960,
7/13/2016,220002,353501060852381,Galaxy S5 Active,SMPS5AT12FA0-WX,,Easyhome,52,store52@easyhome.us,"3800 N. MacArthur Blvd, Ste G",,Warr Acres,OK,73122,(405) 603-3922,
7/13/2016,220002,353501060967015,Galaxy S5 Active,SMPS5AT12FA0-WX,,PSL,434,manager434@buddyrents.com,104 E Graham Ave,,Pryor,OK,74361,(918) 236-8373,
7/13/2016,220002,353501062063987,Galaxy S5 Active,SMPS5AT12FA0-WX,,Easyhome,52,store52@easyhome.us,"3800 N. MacArthur Blvd, Ste G",,Warr Acres,OK,73122,(405) 603-3922,
7/13/2016,220002,353501062168265,Galaxy S5 Active,SMPS5AT12FA0-WX,,PSL,434,manager434@buddyrents.com,104 E Graham Ave,,Pryor,OK,74361,(918) 236-8373,
7/13/2016,220002,353501062613799,Galaxy S5 Active,SMPS5AT12FA0-WX,,PSL,434,manager434@buddyrents.com,104 E Graham Ave,,Pryor,OK,74361,(918) 236-8373,
7/13/2016,220002,353501062831144,Galaxy S5 Active,SMPS5AT12FA0-WX,,PSL,434,manager434@buddyrents.com,104 E Graham Ave,,Pryor,OK,74361,(918) 236-8373,
7/13/2016,220002,353501064707425,Galaxy S5 Active,SMPS5AT12FA0-WX,,PSL,434,manager434@buddyrents.com,104 E Graham Ave,,Pryor,OK,74361,(918) 236-8373,
7/13/2016,200001,353411063082830,Galaxy S5,SMPS5T12FA0-WX,,Easyhome,44,store44@easyhome.us,8803 Geyer Springs Rd,,Little Rock,AR,72209,(501) 562-3500,
7/13/2016,200001,353411063302865,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200002,353502060438403,Galaxy S5,SMPS5T12FA0-WX,,Easyhome,43,store43@easyhome.us,309 SW 59th Street Suite 104,,Oklahoma City,OK,73109,(405) 632-9500,
7/13/2016,200002,353502061332597,Galaxy S5,SMPS5T12FA0-WX,,Easyhome,43,store43@easyhome.us,309 SW 59th Street Suite 104,,Oklahoma City,OK,73109,(405) 632-9500,
7/13/2016,200001,353502061872626,Galaxy S5,SMPS5T12FA0-WX,,Easyhome,47,store47@easyhome.us,"5609 Rogers Ave, Suite B",,Ft. Smith,AR,72903,(479) 434-5960,
7/13/2016,200002,353502063629610,Galaxy S5,SMPS5T12FA0-WX,,Easyhome,43,store43@easyhome.us,309 SW 59th Street Suite 104,,Oklahoma City,OK,73109,(405) 632-9500,
7/13/2016,200001,353502067870319,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200002,353502068534096,Galaxy S5,SMPS5T12FA0-WX,,Easyhome,43,store43@easyhome.us,309 SW 59th Street Suite 104,,Oklahoma City,OK,73109,(405) 632-9500,
7/13/2016,200001,353919060564485,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200003,353919061583047,Galaxy S5,SMPS5T12FA0-WX,,Easyhome,44,store44@easyhome.us,8803 Geyer Springs Rd,,Little Rock,AR,72209,(501) 562-3500,
7/13/2016,200001,353920062010360,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200001,354691060665104,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200001,354691061051163,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200001,354691062469000,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200001,354691063206849,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200001,354691064541319,Galaxy S5,SMPS5T12FA0-WX,,Easyhome,47,store47@easyhome.us,"5609 Rogers Ave, Suite B",,Ft. Smith,AR,72903,(479) 434-5960,
7/13/2016,200001,354691064958646,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200001,354691067258101,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200001,354891060475716,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200001,354891063917524,Galaxy S5,SMPS5T12FA0-WX,,Flexi,144,service@scs-lp.com,"900 Bugg Lane, Ste 115",,San Marcos,TX,78666,ﾠ(512) 392 7532,
7/13/2016,200001,990004916874682,Galaxy S5,SMPS5T12FA0-WX,,Easyhome,30,store30@easyhome.us,407 E. Pawnee,Suite 107,Wichita,KS,67211,(316) 263-0705,
7/13/2016,200001,990004932934080,Galaxy S5,SMPS5T12FA0-WX,,Easyhome,30,store30@easyhome.us,407 E. Pawnee,Suite 107,Wichita,KS,67211,(316) 263-0705,
7/13/2016,210035,352130070256978,Galaxy S6,SMPS6T12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,210035,352130070353502,Galaxy S6,SMPS6T12FA0-WX,,Easyhome,31,store31@easyhome.us,4620 E. 13th St. North,,Wichita,KS,67208,(316) 201-4700,
7/13/2016,210035,352130070478796,Galaxy S6,SMPS6T12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,210035,352130070622526,Galaxy S6,SMPS6T12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,210035,352130070845796,Galaxy S6,SMPS6T12FA0-WX,,Easyhome,31,store31@easyhome.us,4620 E. 13th St. North,,Wichita,KS,67208,(316) 201-4700,
7/13/2016,210036,352131070296972,Galaxy S6,SMPS6T12FA0-WX,,Easyhome,31,store31@easyhome.us,4620 E. 13th St. North,,Wichita,KS,67208,(316) 201-4700,
7/13/2016,210036,352131070411159,Galaxy S6,SMPS6T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,210036,352131070883688,Galaxy s6,SMPS6T12FA0-WX,,Buddys,337,manager337@buddyrents.com,230 S Armstrong Ave,,Dennison,TX,75020,(903) 213-5818,
7/13/2016,210036,352131070918849,Galaxy s6,SMPS6T12FA0-WX,,Buddys,337,manager337@buddyrents.com,230 S Armstrong Ave,,Dennison,TX,75020,(903) 213-5818,
7/13/2016,210036,352131070953887,Galaxy S6,SMPS6T12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,210034,359356060820928,Galaxy S6,SMPS6T12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,210034,359356061595222,Galaxy S6,SMPS6T12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,200031,359462061170139,Galaxy S6,SMPS6T12FA0-WX,,Easyhome,31,store31@easyhome.us,4620 E. 13th St. North,,Wichita,KS,67208,(316) 201-4700,
7/13/2016,210031,359706060411864,Galaxy s6,SMPS6T12FA0-WX,,Buddys,337,manager337@buddyrents.com,230 S Armstrong Ave,,Dennison,TX,75020,(903) 213-5818,
7/13/2016,210031,359706060916276,Galaxy S6,SMPS6T12FA0-WX,,Easyhome,31,store31@easyhome.us,4620 E. 13th St. North,,Wichita,KS,67208,(316) 201-4700,
7/13/2016,210031,990004865886745,Galaxy S6 Edge,SMPS6T12FA0-WX,,Easyhome,11,manager11@buddyrents.com,113 S. Parker,,Olathe,KS,66061,(913) 764-9800,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1/27/2016,200001,354691066217363,Galaxy S5,SMPS5T12F50-WX,,Flexi,402,service@scs-lp.com,"509 S. Expressway 83, Ste D",,Harlingen,TX,78550,817.576.0466,
